CSVIndex,CSV_Timestamp,MatchedFrame,FrameTimestamp
0,17,1,16.666666666666668
1,33,2,33.333333333333336
2,50,3,50.0
3,67,4,66.66666666666667
4,83,5,83.33333333333333
5,100,6,100.0
6,117,7,116.66666666666667
7,133,8,133.33333333333334
8,150,9,150.0
9,167,10,166.66666666666666
10,183,11,183.33333333333331
11,200,12,200.0
12,217,13,216.66666666666669
13,233,14,233.33333333333334
14,250,15,250.0
15,267,16,266.6666666666667
16,283,17,283.3333333333333
17,300,18,300.0
18,317,19,316.66666666666663
19,333,20,333.3333333333333
20,350,21,350.0
21,367,22,366.66666666666663
22,383,23,383.33333333333337
23,400,24,400.0
24,417,25,416.6666666666667
25,433,26,433.33333333333337
26,450,27,450.0
27,467,28,466.6666666666667
28,483,29,483.3333333333333
29,500,30,500.0
30,517,31,516.6666666666667
31,533,32,533.3333333333334
32,550,33,550.0
33,567,34,566.6666666666666
34,583,35,583.3333333333334
35,600,36,600.0
36,617,37,616.6666666666667
37,633,38,633.3333333333333
38,650,39,650.0
39,667,40,666.6666666666666
40,683,41,683.3333333333334
41,700,42,700.0
42,717,43,716.6666666666666
43,733,44,733.3333333333333
44,750,45,750.0
45,767,46,766.6666666666667
46,783,47,783.3333333333334
47,800,48,800.0
48,817,49,816.6666666666666
49,833,50,833.3333333333334
50,850,51,850.0
51,867,52,866.6666666666667
52,883,53,883.3333333333333
53,900,54,900.0
54,917,55,916.6666666666666
55,933,56,933.3333333333334
56,950,57,950.0
57,967,58,966.6666666666666
58,983,59,983.3333333333333
59,1000,60,1000.0
60,1017,61,1016.6666666666666
61,1033,62,1033.3333333333335
62,1050,63,1050.0
63,1067,64,1066.6666666666667
64,1083,65,1083.3333333333333
65,1100,66,1100.0
66,1117,67,1116.6666666666667
67,1133,68,1133.3333333333333
68,1150,69,1150.0
69,1167,70,1166.6666666666667
70,1183,71,1183.3333333333333
71,1200,72,1200.0
72,1217,73,1216.6666666666665
73,1233,74,1233.3333333333335
74,1250,75,1250.0
75,1267,76,1266.6666666666665
76,1283,77,1283.3333333333335
77,1300,78,1300.0
78,1317,79,1316.6666666666667
79,1333,80,1333.3333333333333
80,1350,81,1350.0
81,1367,82,1366.6666666666667
82,1383,83,1383.3333333333333
83,1400,84,1400.0
84,1417,85,1416.6666666666667
85,1433,86,1433.3333333333333
86,1450,87,1450.0
87,1467,88,1466.6666666666665
88,1483,89,1483.3333333333335
89,1500,90,1500.0
90,1517,91,1516.6666666666665
91,1533,92,1533.3333333333335
92,1550,93,1550.0
93,1567,94,1566.6666666666667
94,1583,95,1583.3333333333333
95,1600,96,1600.0
96,1617,97,1616.6666666666667
97,1633,98,1633.3333333333333
98,1650,99,1650.0
99,1667,100,1666.6666666666667
100,1683,101,1683.3333333333333
101,1700,102,1700.0
102,1717,103,1716.6666666666665
103,1733,104,1733.3333333333335
104,1750,105,1750.0
105,1767,106,1766.6666666666665
106,1783,107,1783.3333333333335
107,1800,108,1800.0
108,1817,109,1816.6666666666667
109,1833,110,1833.3333333333333
110,1850,111,1850.0
111,1867,112,1866.6666666666667
112,1883,113,1883.3333333333333
113,1900,114,1900.0
114,1917,115,1916.6666666666667
115,1933,116,1933.3333333333333
116,1950,117,1950.0
117,1967,118,1966.6666666666665
118,1983,119,1983.3333333333335
119,2000,120,2000.0
120,2017,121,2016.6666666666665
121,2033,122,2033.3333333333333
122,2050,123,2050.0
123,2067,124,2066.666666666667
124,2083,125,2083.3333333333335
125,2100,126,2100.0
126,2117,127,2116.6666666666665
127,2133,128,2133.3333333333335
128,2150,129,2150.0
129,2167,130,2166.6666666666665
130,2183,131,2183.333333333333
131,2200,132,2200.0
132,2217,133,2216.666666666667
133,2233,134,2233.3333333333335
134,2250,135,2250.0
135,2267,136,2266.6666666666665
136,2283,137,2283.333333333333
137,2300,138,2300.0
138,2317,139,2316.666666666667
139,2333,140,2333.3333333333335
140,2350,141,2350.0
141,2367,142,2366.6666666666665
142,2383,143,2383.3333333333335
143,2400,144,2400.0
144,2417,145,2416.6666666666665
145,2433,146,2433.333333333333
146,2450,147,2450.0
147,2467,148,2466.666666666667
148,2483,149,2483.3333333333335
149,2500,150,2500.0
150,2517,151,2516.6666666666665
151,2533,152,2533.333333333333
152,2550,153,2550.0
153,2567,154,2566.666666666667
154,2583,155,2583.3333333333335
155,2600,156,2600.0
156,2617,157,2616.6666666666665
157,2633,158,2633.3333333333335
158,2650,159,2650.0
159,2667,160,2666.6666666666665
160,2683,161,2683.333333333333
161,2700,162,2700.0
162,2717,163,2716.666666666667
163,2733,164,2733.3333333333335
164,2750,165,2750.0
165,2767,166,2766.6666666666665
166,2783,167,2783.333333333333
167,2800,168,2800.0
168,2817,169,2816.666666666667
169,2833,170,2833.3333333333335
170,2850,171,2850.0
171,2867,172,2866.6666666666665
172,2883,173,2883.3333333333335
173,2900,174,2900.0
174,2917,175,2916.6666666666665
175,2933,176,2933.333333333333
176,2950,177,2950.0
177,2967,178,2966.666666666667
178,2983,179,2983.3333333333335
179,3000,180,3000.0
180,3017,181,3016.6666666666665
181,3033,182,3033.333333333333
182,3050,183,3050.0
183,3067,184,3066.666666666667
184,3083,185,3083.3333333333335
185,3100,186,3100.0
186,3117,187,3116.6666666666665
187,3133,188,3133.3333333333335
188,3150,189,3150.0
189,3167,190,3166.6666666666665
190,3183,191,3183.333333333333
191,3200,192,3200.0
192,3217,193,3216.666666666667
193,3233,194,3233.3333333333335
194,3250,195,3250.0
195,3267,196,3266.6666666666665
196,3283,197,3283.333333333333
197,3300,198,3300.0
198,3317,199,3316.666666666667
199,3333,200,3333.3333333333335
200,3350,201,3350.0
201,3367,202,3366.6666666666665
202,3383,203,3383.3333333333335
203,3400,204,3400.0
204,3417,205,3416.6666666666665
205,3433,206,3433.333333333333
206,3450,207,3450.0
207,3467,208,3466.666666666667
208,3483,209,3483.3333333333335
209,3500,210,3500.0
210,3517,211,3516.6666666666665
211,3533,212,3533.333333333333
212,3550,213,3550.0
213,3567,214,3566.666666666667
214,3583,215,3583.3333333333335
215,3600,216,3600.0
216,3617,217,3616.6666666666665
217,3633,218,3633.3333333333335
218,3650,219,3650.0
219,3667,220,3666.6666666666665
220,3683,221,3683.333333333333
221,3700,222,3700.0
222,3717,223,3716.666666666667
223,3733,224,3733.3333333333335
224,3750,225,3750.0
225,3767,226,3766.6666666666665
226,3783,227,3783.333333333333
227,3800,228,3800.0
228,3817,229,3816.666666666667
229,3833,230,3833.3333333333335
230,3850,231,3850.0
231,3867,232,3866.6666666666665
232,3883,233,3883.3333333333335
233,3900,234,3900.0
234,3917,235,3916.6666666666665
235,3933,236,3933.333333333333
236,3950,237,3950.0
237,3967,238,3966.666666666667
238,3983,239,3983.3333333333335
239,4000,240,4000.0
240,4017,241,4016.6666666666665
241,4033,242,4033.333333333333
242,4050,243,4050.0
243,4067,244,4066.6666666666665
244,4083,245,4083.333333333333
245,4100,246,4100.0
246,4117,247,4116.666666666666
247,4133,248,4133.333333333334
248,4150,249,4150.0
249,4167,250,4166.666666666667
250,4183,251,4183.333333333334
251,4200,252,4200.0
252,4217,253,4216.666666666667
253,4233,254,4233.333333333333
254,4250,255,4250.0
255,4267,256,4266.666666666667
256,4283,257,4283.333333333333
257,4300,258,4300.0
258,4317,259,4316.666666666666
259,4333,260,4333.333333333333
260,4350,261,4350.0
261,4367,262,4366.666666666666
262,4383,263,4383.333333333334
263,4400,264,4400.0
264,4417,265,4416.666666666667
265,4433,266,4433.333333333334
266,4450,267,4450.0
267,4467,268,4466.666666666667
268,4483,269,4483.333333333333
269,4500,270,4500.0
270,4517,271,4516.666666666667
271,4533,272,4533.333333333333
272,4550,273,4550.0
273,4567,274,4566.666666666666
274,4583,275,4583.333333333333
275,4600,276,4600.0
276,4617,277,4616.666666666666
277,4633,278,4633.333333333334
278,4650,279,4650.0
279,4667,280,4666.666666666667
280,4683,281,4683.333333333334
281,4700,282,4700.0
282,4717,283,4716.666666666667
283,4733,284,4733.333333333333
284,4750,285,4750.0
285,4767,286,4766.666666666667
286,4783,287,4783.333333333333
287,4800,288,4800.0
288,4817,289,4816.666666666666
289,4833,290,4833.333333333333
290,4850,291,4850.0
291,4867,292,4866.666666666666
292,4883,293,4883.333333333334
293,4900,294,4900.0
294,4917,295,4916.666666666667
295,4933,296,4933.333333333334
296,4950,297,4950.0
297,4967,298,4966.666666666667
